review,sentiment
"15 years ago, Power Rangers was one of the shows that swept the nations, especially that of the youth. When I was a 3-year-old kid living in the Philippines, I would watch this show every Friday on ABS-CBN (Channel 2 over there). When the movie came out in 1995, it was all shock and awe to me when I watched it with my dad and 2 uncles. My grandparents even sent me a ""Balikbayan"" box full of Power Rangers stuff (including the easy-to-build Megazord figure and the stuffed toys of the Rangers). I even played the video games, and loved only one of them (""MMPR: Fighting Edition""), which was REALLY sad. Anyway, it was the show that set a stepping stone on my interest on robot series (especially anime mech series like ""Gundam"") Now that I'm 18, I'd like to think this show is pretty cheesy to me now. To prove this, I took a trip down memory lane by buying a 2-set DVD collection with ""MMPR: The Movie"" and ""Turbo: A Power Rangers Movie"" and watched both of them. I was like, ""Ugh. How awful. Just another junk in the attic for me."" For all of you people of my generation, this is NOT a show that you'd want to watch over and over again. I'm not saying to leave it behind for the rest of your life, but occasionally is not a bad thing now, is it? Instead of ""Power Rangers"", I'd recommend something like ""Mobile Fighter G Gundam"" (HIGHLY RECOMMENDED), ""Ninja Senshi Tobikage"" (aka Ninja Robots), or even the ORIGINAL Sentai shows that were the basis of ""Power Rangers.""",negative
"1914 was an amazing year for Charlie Chaplin. It was his first year in films and he appeared in more than 30 films! While most of these films weren't particularly good, they did give him a chance to slowly evolve his screen persona. However, by this film, the familiar ""Little Tramp"" character was still in development. Sure Charlie looked the part, but his character still lacked the sweetness and decency that he later developed. Instead, Chaplin often hit, kicked or did other nasty things to people for seemingly no reason at all.<br /><br />As for this very slight film, it is interesting to watch for the cast. While they are not familiar today, Chaplin stars along with Mabel Normand, Chester Conklin and Mack Swain--all exceptionally popular stars with Keystone Films. The problem with this film is that while it has a few nice scenes, the plot seems very vague and improperly developed. Chester and Mabel got to the race track (a very common theme in Keystone productions--it must have been located near a race track). Charlie and Mack show up and sneak in. Mack is chased by the police for doing this while Charlie slaps Chester around and steals his girl. In the end, for no apparent reason, the cops take Chester and Mack away--leaving Charlie with Mabel (who, oddly, didn't seem put off by Charlie's boorish behaviors).<br /><br />Unless you are a huge silent comedy buff or film historian, this is a very forgettable film that is only important in the evolution of Chaplin. What he and the other actors actually do on stage, while not unusual for a Keystone film, isn't particularly funny when seen today.",negative
"1937's ""Stella Dallas"" with Barbara Stanwyck hasn't exactly aged well--how anyone thought a semi-updated version of the story would work now is a real puzzler. Perhaps they thought jaunty, cheerfully brash Bette Midler could make something out of it, but this hoary script defeats her. Plot about a female bartender having a baby out of wedlock, and years later giving the young girl over to the child's wealthy father so she'll have a shot at a better life, can't escape tatty, old-fashioned trappings and sentiment. Midler works best with a movie director who can control her excesses, but that fails to happen here; Stephen Collins is stolid as the man who changes her life, but Trini Alvarado is well-cast as Midler's daughter. This is what used to be referred to as a ""woman's picture"", a wallow, but it doesn't pass muster because it stays too faithful to its 1930's origins. *1/2 from ****",negative
"1940. - A visit to the Lodz ghetto in Nazi-occupied Poland, recorded by a German cameramen with the naive co-operation of the Jewish community, is combined with archival footage, clips from international newsreels, and excerpts from related cultural films to portray the World's Jews as swindlers and parasites. This 'documentary' interprets Jewish life from the viewpoint of traditional anti-Semitism and Nazi ideology. A candid, cinematically-unique expression of racial hatred. I personally find this film frightening and highly offensive. One can only hope that such pictures as this will never reach the screen again.",negative
"1940's cartoon, banned nowadays probably because of the 'Black Beauty' gag, in which Daffy rides a black person as if it were a horse.<br /><br />The whole story takes place in a bookstore, where the characters of the books come to life every evening. So we have, among others, the Ugly Duck (Daffy) and the wolf of Wallstreet. They wind up in a chase after the wolf tricked Daffy with a phony duck (hence the title).<br /><br />And chase is all there is in this little cartoon, that doesn't have any real appeal nowadays. Only fun if you're a true fan of the Looney Tunes I guess...<br /><br />4/10.",negative
"1960's kid show with ex-vaudevillians playing handy men for hire. As you can expect they are a disaster at everything they do. Over the course of the 11 minute episodes (leaving 4 minutes for commercials in the 15 minute time slot), they do things like set up a fence between warring neighbors, help a magician on stage and deal with a found trunk and wallet.<br /><br />Growing up I had never run across this show (which appears to have been shot in New York). I thought I had run heard of or seen a most of the children's shows from the period either through having watched them as a kid or viewed them at nostalgia conventions. Until Alpha Video released it on DVD I had been completely unaware if its existence.<br /><br />The show plays like the Three Stooges mixed with Abbott and Costello as done by people aping the routines. (Indeed one of the pair claims to have created the legendary ""Slowly I turned..."" routine that Abbott and Costello perfected). Its not bad, but its really not good either since everything seems watered down. The timing is often off (Though that maybe due to bad direction) and the jokes were recycled years before the show first ran. Odds are you've seen it all before . On the plus side its the type of thing that would be perfect to introduce very young kids to the magic of vaudeville style comedy, however its going to be trying for parents to sit through even with the short episodes.<br /><br />For nostalgia junkies only. Everyone else should look to seeing an Abbott and Costello or Three Stooges original.",negative
"1975's MASTER OF THE FLYING GUILLOTINE is an amazing and wonderful film to watch. This isn't because the fighting is particularly inspired or because the film makes any sense at all. It's because the film is so silly and so over-the-top that it is a camp classic--bad, but enjoyably bad. The film stars a blind guy who has a Frisbee-like device on a chain that chops off people's heads as he expertly throws this at his foes! Who cares that the physics are impossible or that the film features such silly things as fighters with 12 foot long papier-mache arms or that the guy was blind! It's just a ball to watch from start to finish--and one of my favorite ""bad"" films and great to see with friends.<br /><br />Because of this film, I was eager to see THE FATAL FLYING GUILLOTINES (1977), though sadly it turned out NOT to be a sequel but a bit of a knock-off--taking many of the ideas from the original but neglecting to make the film as coherent or watchable. Sure, it's silly fun, but it never comes close to MASTER OF THE FLYING GUILLOTINE in entertainment value. Like the original film, there are these weird flying devices that sever heads, but they are quite different--with circular saw blades and almost a mind of their own. There also is no blind guy but instead are a bunch of baddies who really have no depth nor does the audience understand exactly what's occurring in this English-dubbed version, as the plot is completely incomprehensible. However, at the same time, some of the martial arts action is very good. While not up to the high standards of most Bruce Lee or Sonny Chiba films, the action is worthwhile despite the ludicrous and often confusing plot.<br /><br />Overall, this is a film that martial arts fans may like (despite its many, many, many, many shortcomings), but also one that others will probably turn off or laugh hysterically at instead of enjoying the action because the film is just so ludicrous. BUT, most importantly, it never comes close to being as funny or watchable as MASTER OF THE FLYING GUILLOTINE. Too bad.",negative
"1980 was certainly a year for bad backwoods slasher movies. ""Friday The 13th"" and ""The Burning"" may have been the best ones but there were like always a couple of stinkers not far behind like ""Don't Go Into The Woods Alone"" and this one. But in all fairness ""The Prey"" is nowhere near as bad as ""Don't Go Into The Woods"" but it's still not great either. One thing is that it's just boring and acting isn't very good but much better than ""DGITW"" and this movie actually has some attractive looking females to look at, all three of the female leads were stunning. One thing what is up with all that pointless wildlife footage it just seemed pointless and it looked as the director used that to just used that to fill up some time space.<br /><br />So, what was there to like about this movie? Well, there were a few laugh out loud cheese moments- I couldn't contain a fit of giggles when the final girl did a bizarre type of backwards moon-walk to get away from the kille and there were a few good kill scenes- my favourites being the girl suffocated to death with the sleeping bag; and the phoney looking.<br /><br />All in all The Prey is dumb, boring and the killer I didn't find scary at all, this movie could have been a whole lot better.",negative
"1983's ""Frightmare"" is an odd little film. The director seems to be trying to combine the atmosphere of classic '30s/'40s style horror movies with the shock factor of the then-exploding '80s slasher genre. It isn't totally successful (mostly due to very obvious budgetary restraints, and the less-than-professional caliber of its cast of young actors) but it still has its moments, mostly due to the classy performance (classier than the movie deserves) by the late German actor Ferdinand Mayne, who plays an aging old time horror movie star (ala Vincent Price) named ""Conrad Ratzoff."" At the beginning of the movie we meet the has-been horror star as he's shooting a commercial for dentures and we quickly learn that ol' Conrad is a bit of a hoity-toity, prima donna jerk-off. Just when you think he couldn't be any more un-likable, the commercial director berates Conrad for blowing a take for the umpteenth time and the old goat pushes him off a balcony to his death. Nice, huh? Conrad then visits some fans at a college campus horror movie club, unfortunately he suffers a heart attack in the middle of his speech to them and eventually ends up back at his mansion waiting to die. Still feisty even at Death's door, he manages to do away with a despised business associate by smothering him with a pillow before he finally kicks the bucket himself. Conrad is then laid to rest in true Hollywood style in a high tech neon tomb with video screens above the casket, which will play personal video messages from Conrad himself for visitors who enter to pay their respects.<br /><br />It is at this point that the kids from the college Horror Movie Society decide to pay Conrad's grave an after hours visit, breaking into the tomb and taking his body back home with them for an all night party. (Not exactly my idea of fun, but hey, these are characters in an '80s horror film. Logic has no place here.) The college kids spend the evening having dinner with Conrad's body seated in a place of honor, posing for photos with it and even dancing around the room with it, before parking Conrad and his coffin in the attic, planning to return him to his crypt in the morning. In the meantime, Mrs. Ratzoff, distraught over the theft of her husband's body, has called in a psychic friend to try and ""reach"" Conrad through a seance. You can pretty much figure out the rest from here. Since Conrad wasn't a very nice guy in life, it's not much of a stretch to assume that he won't be any friendlier in death. Psychic Lady makes contact with Conrad and he re-awakens in predictably ticked off fashion, then spends the rest of the movie strolling around the corridors of the students' ridiculously huge house, picking off the young grave robbers one by one. This is where the movie falls apart. Endless scenes of teens wandering around empty hallways saying ""Hello? Is anyone there?"" are intercut with occasional bursts of violence (we do get a pretty gnarly decapitation scene, which is the highlight of the movie) before the last two survivors finally figure out (WAY later than any semi-intelligent people would have figured out the same thing...but again, we're in an '80s horror film!) that the only way to stop the mayhem is to get Conrad's body back to its crypt where it belongs. The sluggish pacing is padded out with a lot of weird lighting and dry ice fog effects backed by a soundtrack made up almost entirely of sound effects rather than music(thunder, moans and groans, howls, etc.) that becomes severely annoying after a while.<br /><br />I can't really recommend ""Frightmare"" to anyone who didn't grow up watching cheap movies like this on late night cable back in the '80s. ""Modern Horror"" fans will doubtlessly find ""Frightmare"" incredibly slow moving and goofy. If you came of age in that magical decade, however, you may get a blast of nostalgia from ""Frightmare."" Fans of Jeffrey (""Re-Animator"") Combs may also want to check it out, as the future Dr. West appears in an early role here as one of the unlucky film students.<br /><br />I will advise the reader to avoid the version of this film on the EastWestDVD label (paired with Roy Ward's ""Vault of Horror"" and sold at dollar stores) because the print quality is terrible. I'm told the film has gotten a deluxe release via the fine folks at Troma, which seems appropriate. If you're a Troma kind of person then ""Frightmare"" will be right up your alley.",negative
"1983 was a bumper year for Stephen King books making it to the big screen. Christine, The Dead Zone and Cujo were all released within a few months of each other. While The Dead Zone was easily the pick of the bunch, Christine and Cujo were both pretty bad, and it's a close-run thing as to which is the lesser of the two. If pushed for an answer I'd say Cujo - marginally - is the weakest.<br /><br />Donna Trenton (Dee Wallace, fresh from success as Elliot's mom in ""E.T - The Extra Terrestrial"") is a mother whose marriage to husband Vic (Daniel Hugh-Kelly) is hanging by a thread. She's been having an affair with a local worker, and is now dwelling on whether or not to leave her husband. Dragged into the marital heartache is young Tad Trenton (Danny Pintauro), son of Donna and Vic, and a pretty messed-up kid with a chronic phobia of the dark which often leads to severe panic attacks. Donna and Tad take the family car to a nearby mechanics' yard for repairs, but as they arrive their car splutters to a halt. Things get a heck of a lot worse when they discover that the mechanic, Joe Camber (Ed Lauter), isn't there (he has been savagely killed by his pet dog Cujo, a gigantic St. Bernard which was recently bitten and infected by a rabid bat.) Soon, the dog has them trapped in their car and is trying everything to get inside the vehicle to tear apart these two hapless victims. The weather is swelteringly hot; not a living soul knows they're there; the car won't start; and the dog seriously wants their blood......<br /><br />Cujo has potential to be a genuinely taut siege thriller, but it never really clicks into gear. I've read the book and it is quite disappointing - certainly for King - so it's hardly surprising that the film version amounts to so little. On the printed page, King was at least able to generate a degree of tension, but the film is critically hampered by the fact that a St. Bernard simply isn't very scary. The ""visualness"" of the film medium serves as a constant reminder that Cujo IS a St. Bernard. In the book, it was possible to forget this. In the book, Cujo sometimes almost seemed to assume the guise of a monster. Even with the relatively short running-time of an hour-and-a-half, Cujo becomes a tedious and patience-straining experience, occasionally unintentionally funny and certainly never as suspenseful as it would like to be. They've even omitted the book's cruelly downbeat ending and replaced it with an ""all's well that ends well"" conclusion so that audiences can go home in a cheerful mood!!! Chalk this one down as yet another inferior King adaptation.",negative
"1989 was already a year in where Eddie Murphy wasn't that longer hot and started making movies that soon would be forgotten. Funnily enough, it was also the year in where Murphy directed his first film, but it also would be the first and last experiment. ""Harlem nights"" wasn't exactly what you can call a success even if it was great to see the two best black comedians together namely Murphy and Richard Pryor. Don't blame it on the actors as they all played their roles like you expected them do, even if you have to face (again) the typical Murphy-laugh. The worst thing from ""Harlem nights"" are both the scenario and its terrible decors. Everything is set in the roaring twenties and everybody has their profit from the forbidden clubs. Sugar Ray (Pryor) and his adopted son Quickie (Murphy) are gathering easily 10000 dollar per day but of course soon the mob and the corrupt police come around the corner to claim their part of the cookie. Sugar and Quickie aren't guys who give their money for free and have their own plans. You can watch ""Harlem Nights"" that's for sure, but if you puke from the moment you hear the name Murphy you better avoid as after all this movie is nothing but a lame excuse to see some good jokes.",negative
"1993 was a time of change in the WWE but for this Wrestlemania they decided to wind back the clock as Hulk Hogan returned, along with his good friend Brutus Beefcake, who had been out of wrestling since a paragliding accident in 1990.<br /><br />This was not a great event. Only two matches had any real build and the whole thing came off as being rushed. The in ring action wasn't great and the twist at the end, which I'll discuss later, really wasn't the earth shattering moment the WWE hoped it would be.<br /><br />This forgettable night started off with Shawn Micheals defending his Intercontinental Championship against the undefeated Tatanka. Tatanka had beaten Michaels a couple of times leading into the fight. Michaels had a new manager, Luna Vachon while Tatanka was accompanied by Michaels' former manager and future WWE Hall of Famer Sherri Martel. Tatanka won by DQ. Michaels kept his title and went straight back into his feud with Marty Janetty, which had been put on hold just for Wrestlemania. Why, I have no idea.<br /><br />Next up saw the Steiner Brothers (Scott and Rick) defeat the Headshrinkers (Samu and Fatu) with Scott scoring the pin after hitting Samu with the Frankensteiner. Good match.<br /><br />Doink the clown needed help from another clown to win his match against Crush. A second Doink distracting Crush when he was in complete control and allowing Doink to get the pin and the victory. Doink was an entertaining gimmick character, who got old rather quickly.<br /><br />Razor Ramon easily defeated the returning Bob Backlund in the next match.<br /><br />This brings us to the first in our double main event. As the Mega Maniacs Team of Hulk Hogan and Brutus Beefcake, with the newly turned good guy Jimmy Hart in their corner, took on Hart's former buddies Money Inc (Ted DiBiase and Irwin R Shyster). This was a fairly sketchy finish. Beefcake, as mentioned, had been in a paragliding accident requiring full facial surgery and had wrestled the match with a face mask on. Shyster ripped the mask off him and beat Beefcake to a pulp. The ref went down, Hogan grabbed the face mask and knocked out DiBIase and Shyster and then Hart, who was wearing a referee shirt, counted the three. Another ref came down and reversed the decision, declaring Money Inc winners by DQ.<br /><br />Next up Lex Luger or the Narcissist as he was also known at the time defeated Mr Perfect. This match came about because Luger was being managed by Perfect's old manager Bobby Heenan. Perfect had is feet on the ropes when he was pinned, but the ref missed it.<br /><br />The Undertaker picked up a lacklustre DQ victory in a pretty poor match against the Giant Gonzales. THe Undertaker had earned the ire of Gonzales' manager Harvey Wippleman in 1992 and Taker had defeated his big monster Kamala at Survivor Series. Wippleman vowed revenge and took it at the Royal Rumble as Gonzales attacked Taker, costing him the match. Gonzales dominated Undertaker in this match, but was DQ'd for choking Taker out with chloroform. Weird finish to a bad match.<br /><br />This bought us to our main event as WWE Champion Bret Hart, seriously challenged as champion for the first time, put his title on the line against Mr Fuji's unstoppable monster Yokozuna. Yokozuna controlled the early going, but Hart resisted and then took control. He had Yokozuna in the sharpshooter, surely he would give in and Hart would be established as an heroic hero after taking out the big monster. But Fuji had other ideas, throwing salt in Hart's face, rendering the Canadian helpless as Yokozuna got the pin.<br /><br />What a downer ending. But wait here comes Hulk Hogan. He's checking Hart to make sure he's OK. Suddenly Fuji challenges Hogan to a WWE Title right then and there. Hogan accepts. Fuji throws salt towards Hogan, but hits Yokozuna instead. Hogan hits the leg drop and wins the match and the title. What did I just watch? And so, what most fans thought was going to be the night we either saw Hart establish himself as a giant killer, or Yokozuna establish himself as an unstoppable monster, we instead saw Hulk Hogan pick up a meaningless title win. A title that he would not defend for three months. As a matter of fact this was the only match Hogan wrestled for the WWE before the King of the Ring PPV in June 1993.",negative
"1993 was the year. This was long before Phillip Seymour Thomas had won an Oscar. Who knew I would be an extra in a movie with him? I was actually a paid extra in ""My Boyfriend's Back,"" which was shot in a suburb of Austin called Georgetown, TX. The original title was ""Johnny Zombie"" (thank God the producers had a change of heart!) I was in the theater scene. I rushed out to watch the movie the day it was released in theaters. It is more of a comedy than a horror movie. But... for a good laugh, you might want to check it out. Nothing that is even close to ""Dawn of the Dead"" or even ""Shaun of the Dead"" quality, but the cheese factor is good enough. ciao",negative
"1999 will go down in history as the year the movie critic lead the general public astray. First they sent us to EYES WIDE SHUT. Then they hyped up THE BLAIR WITCH PROJECT and now MAGNOLIA which is by far the worst movie of the year. What is it about? Who the heck knows. Its full of self-indulgence and loaded with bad acting. I always like to stay and watch the credits, but when this thing was over I couldn't get out of the movie theatre fast enough. Most of the audience that attended the showing that I was at, felt pretty much the same way. Dates were arguing with each other as well as strangers. It's an ugly and hateful film that will make you feel ugly and hateful.",negative
"1. Aliens resemble plush toys and hand puppets, while having arms that don't function.<br /><br />2. Aliens mastered intergalactic space travel, but they don't know how to push an unlocked vault door open, yet can push open a door being held shut by five people.<br /><br />3. Old Security Guards know how to get a hold of C4, and are just waiting for the right time to use it, say, when they are suddenly fired for no explainable reason.<br /><br />4. Apparently, US Army boot camp, in the 80's, involved several sessions of ""garden tool combat"", including the pirouette spin of death.<br /><br />5. To impress your prudish girl friend, you have to ""save the world...err...neighborhood"" from aliens.<br /><br />6. All women are sluts, either openly or secretly.<br /><br />7. Scummy night clubs look like bad diners.<br /><br />8. ""Scummy"" waitresses double as dancers for The Fontanelles (how did they get talked into this?) who can only do bad 60's dance moves.<br /><br />9. Army privates secretly dream of being Rambo.<br /><br />10. Grenades apparently have a setting for ""flash-bang"". <br /><br />11. Being burned alive apparently only leaves one with minor burns on their arms.<br /><br />12. US Army Staff Sargeants apparently happen to always be in the area and do nothing about aliens in the area.<br /><br />13. Aliens apparently always ""go home"", which means back to the vault they were un-locked in.<br /><br />14. Aliens are attracted to bright lights, which apparently means in the Los Angeles area one would assume, the protagonist's house is the most brightly lit thing in the area.<br /><br />15. Showing 16 parking scenes in a movie makes the audience clamor for more.<br /><br />16. Vans from the 80's apparently have horrible suspension systems.<br /><br />17. Comedy is supposed to happen in this film.<br /><br />18. Horror is supposed to happen in this film.<br /><br />19. Spoofs and homages are supposed to happen in this film.<br /><br />20. This film cures insomnia.<br /><br />21. Apparently, garden tools make electronic keyboard noises whenever they are used, not just in fights (tell me I'm not the only one who noticed this).<br /><br />The simply truth is this film just came out wrong. Period. There isn't much meat on the bone, nor does it do anything really well. Even average. It's just bad. However, I've seen far worse, and the rake fight scene is pure comedy gold, intentional or otherwise.<br /><br />2/10 - Jaws 4 was worse then this. At least the film never took itself seriously.",negative
"1) Bad acting.<br /><br />2) For a bunch of castaways on an alien planet, it sure looked like home, especially with the houses and roads you can glimpse in the background.<br /><br />3) Terrible plot with stupid caracters making idiotic decisions and blithely losing precious survival equipment and clothing left, right and center.<br /><br />4) Cool 70's scifi jumpsuits (possibly the only good thing about this movie)<br /><br />5) Interesting ship at the beginning (this crew must have been watching Space 1999 a lot). Too bad it blows up so early. The escape ship also got sunk too fast. *sigh*<br /><br />6) Anthropologists might find some aspects of the movie interesting in terms of primate group behavior.",negative
